RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Total.distance..m.,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...5.00.km.h.,Distance.in.Speed.zone.2..m...5.01...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...11.00.km.h.,Distance.in.Speed.zone.4..m...11.01...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Training.load.score,Cardio.load,Recovery.time..h.,Calories..kcal.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².
51.0,181.0,94.0,70.0,6.91,6.24,8.97,90.0,11.0,9.0,0.0,3.0,1.53,1.09,3.62,0.68,1.08,54.0,14.9707,6.24,2.62,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,72.2,3565.0,274.0,7.7,49.4,3.8,7.7,0.32,0.03,8.8,12.3,0.1,1.0,94.0,159.0,205.0,47.0,80.0,104.0,5013.0,37.0,26.0,2.2,60.0,1259.0,1103.0,1133.0,736.0,751.0,280.0,322.0,143.0,1452.0,11.0,99.0,377.0,341.0,365.0,362.0,91.0,0.0
48.0,183.0,85.0,65.0,7.04,6.14,9.41,87.0,13.0,12.0,11.07,7.0,1.98,1.18,2.98,0.91,1.13,73.0,15.6445,6.14,3.16,6.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,71.5,3956.0,17.0,0.4,55.3,0.2,0.4,0.38,0.02,5.2,13.2,0.2,1.4,77.0,141.0,193.0,39.0,71.0,97.0,3808.0,34.0,26.0,2.1,62.0,836.0,691.0,833.0,570.0,858.0,159.0,183.0,27.6,952.0,12.0,60.0,269.0,217.0,198.0,218.0,89.0,0.0
56.0,78.0,53.0,78.0,8.15,7.08,9.12,87.0,18.0,14.0,2.87,4.0,1.77,1.11,4.2,1.08,1.47,60.82051282051282,16.582,7.08,2.88,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,65.6,2957.0,140.0,4.7,45.1,2.1,4.7,0.39,0.01,3.4,12.7,0.4,3.1,117.0,159.0,193.0,60.0,82.0,99.0,1216.0,16.0,24.6,2.3,5.0,335.0,280.0,313.0,146.0,131.0,8.0,24.0,112.0,98.0,97.0,106.0,21.0,386.0,69.0,75.0,6.6,0.0
59.0,110.0,53.0,76.0,7.33,6.83,8.94,93.0,15.528571428571428,15.0,0.0,4.0,1.88,1.02,3.93,0.51,1.57,59.0,16.582,7.71,2.9,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,63.1,4270.0,674.0,15.8,67.7,10.7,15.8,0.44,0.05,11.7,14.4,0.6,4.0,91.0,152.0,194.0,46.0,77.0,98.0,5159.0,43.0,25.8,2.6,23.0,1389.0,1039.0,1068.0,876.0,756.0,16.0,75.0,366.0,347.0,325.0,320.0,101.0,1165.0,216.0,245.0,71.8,1.0
49.0,152.0,78.0,78.0,7.24,6.75,8.68,93.0,12.0,10.0,0.0,3.0,1.0,1.1,4.65,0.5,0.25,68.0,15.0,6.75,2.1,5.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,62.0,4543.0,226.0,5.0,73.3,3.7,5.0,0.5,0.02,3.2,12.0,0.3,2.1,32.0,128.0,214.0,16.0,65.0,108.0,3865.0,33.0,24.6,2.0,24.0,1135.0,806.0,808.0,544.0,546.0,23.0,74.0,292.0,273.0,291.0,263.0,103.0,826.0,116.0,142.0,12.5,0.0
60.0,105.0,61.0,60.0,5.09,4.72,7.81,93.0,15.528571428571428,9.0,2.87,4.0,1.76,1.0,1.96,0.37,0.0,52.0,15.3906,4.72,2.76,6.0,6.0,4.0,6.0,0.0,0.0,1.0,0.0,71.1,2308.0,801.0,34.7,32.5,11.3,34.7,0.33,0.06,18.5,13.7,0.3,2.5,118.0,168.0,201.0,60.0,85.0,102.0,3104.0,41.0,26.7,2.5,12.0,931.0,712.0,713.0,361.0,364.0,10.0,64.0,256.0,233.0,247.0,251.0,56.0,881.0,187.0,206.0,60.4,2.0
60.0,105.0,61.0,60.0,5.09,4.72,7.81,93.0,15.528571428571428,9.0,2.87,4.0,1.76,1.0,1.96,0.37,0.0,52.0,15.3906,4.72,2.76,6.0,6.0,4.0,6.0,0.0,0.0,1.0,0.0,71.1,2308.0,801.0,34.7,32.5,11.3,34.7,0.33,0.06,18.5,13.7,0.3,2.5,118.0,168.0,201.0,60.0,85.0,102.0,3104.0,41.0,26.7,2.5,12.0,931.0,712.0,713.0,361.0,364.0,10.0,64.0,256.0,233.0,247.0,251.0,56.0,881.0,187.0,206.0,60.4,2.0
48.0,183.0,85.0,65.0,7.04,6.14,9.41,87.0,13.0,12.0,11.07,7.0,1.98,1.18,2.98,0.91,1.13,73.0,15.6445,6.14,3.16,6.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,71.5,3956.0,17.0,0.4,55.3,0.2,0.4,0.38,0.02,5.2,13.2,0.2,1.4,77.0,141.0,193.0,39.0,71.0,97.0,3808.0,34.0,26.0,2.1,62.0,836.0,691.0,833.0,570.0,858.0,159.0,183.0,27.6,952.0,12.0,60.0,269.0,217.0,198.0,218.0,89.0,0.0
57.0,93.0,92.0,82.0,8.42,7.57,9.25,90.0,12.0,11.0,7.26,3.0,2.7,1.79,3.08,0.85,1.5,68.0,17.5781,7.57,4.49,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,85.4,4207.0,75.0,1.8,49.3,0.9,1.8,0.33,0.01,2.3,12.8,0.3,2.2,78.0,137.0,196.0,39.0,69.0,98.0,3668.0,33.0,22.1,2.0,62.0,974.0,645.0,689.0,634.0,695.0,140.0,164.0,25.0,994.0,15.0,82.0,296.0,220.0,238.0,265.0,72.0,0.0
56.0,78.0,53.0,78.0,8.15,7.08,9.12,87.0,18.0,14.0,2.87,4.0,1.77,1.11,4.2,1.08,1.47,60.82051282051282,16.582,7.08,2.88,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,65.6,2957.0,140.0,4.7,45.1,2.1,4.7,0.39,0.01,3.4,12.7,0.4,3.1,117.0,159.0,193.0,60.0,82.0,99.0,1216.0,16.0,24.6,2.3,5.0,335.0,280.0,313.0,146.0,131.0,8.0,24.0,112.0,98.0,97.0,106.0,21.0,386.0,69.0,75.0,6.6,0.0
